AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detailed,"8,960",3.4,,,,,18.51,"38,500",0.7,13.09,15.57,18.24,21.01,23.60,"27,230","32,380","37,940","43,710","49,080",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed,"14,530",2.5,,,,,18.97,"39,470",0.6,14.25,16.60,18.40,21.24,23.11,"29,640","34,530","38,260","44,180","48,070",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed,"20,600",2.4,,,,,18.48,"38,440",0.6,14.61,16.96,18.11,19.70,22.57,"30,380","35,270","37,660","40,970","46,940",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6090,"Miscellaneous Textile, Apparel, and Furnishings Workers",broad,"53,200",2.1,,,,,22.42,"46,630",0.7,15.05,17.48,21.00,24.65,31.07,"31,300","36,360","43,670","51,270","64,620",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detailed,"14,900",4.9,,,,,22.80,"47,420",1.1,17.11,18.75,21.63,26.29,30.60,"35,590","38,990","44,980","54,690","63,650",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6092,Fabric and Apparel Patternmakers,detailed,"2,860",8.1,,,,,34.44,"71,630",2.6,16.63,21.21,32.54,43.79,54.11,"34,590","44,110","67,670","91,080","112,540",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6093,Upholsterers,detailed,"20,990",2.9,,,,,22.58,"46,960",0.9,15.47,17.89,22.21,24.88,30.58,"32,190","37,200","46,190","51,740","63,600",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",detailed,"14,450",4.3,,,,,19.43,"40,410",1.1,14.56,15.79,17.79,21.54,25.82,"30,290","32,850","37,010","44,810","53,710",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7000,Woodworkers,minor,"207,380",1.0,,,,,21.40,"44,520",0.3,15.06,17.70,20.98,23.64,28.69,"31,330","36,820","43,640","49,180","59,680",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7010,Cabinetmakers and Bench Carpenters,broad,"79,540",1.7,,,,,22.82,"47,460",0.5,16.69,18.38,22.12,25.97,30.40,"34,700","38,240","46,020","54,010","63,220",,
